Migrant remittance inflows (US$ million),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017p
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.691628471,3.6340055,3.2847509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90501471,1.283825069,1.684442008,1.737374136,2.644206012,2.31463898,4.05263427,11.0206981,19.1489802,51.2072753,166.893258,264.098327,401.8723735,410.9883818,362.2630005,339.7835961,357.166726,438.3689568,460.8425719,567.6290793,544.498868,446.307776,478.676464,464.7948465
Ethiopia,0,0,0,0,0,0,0,4.4444444,7.1497585,8.6956522,12.222222,10.483092,10.193237,11.014493,11.497585,14.202899,13.574879,8.5507246,11.304348,6.47343,5.2173913,9.7584541,15.01913,18.38,24.62567,27.359669,16.0122107,9.232460329,27.313236,33.729647,53.158882,18.313718,32.986894,46.470192,134,173.5194057,172.153314,357.838225,386.6962658,261.6124471,345.1612711,513.2486666,624.3711655,624.3711655,1796.377787,1086.98679,772.235968,805.6767214
Faeroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.48,50.04,42.97,39.04,39.75,44.38,49.217895,80.28230511,89.05561615,109.1779694,136.5695801,138.7414374,146.3928243,158.41175,158.41175,158.41175,158.41175,158.41175,158.41175,164.533236
Fiji,0,0,0,0,0,0,0,0,0,3.5896192,4.89018675,9.3023083,8.086236,7.98410786,10.6133709,27.65366423,29.74756465,27.01272301,22.65325044,22.98876446,21.94599012,19.179192,22.68809601,26.13870392,29.64227818,32.92249369,33.4212216,35.32651068,25.92086177,24.4208921,44.00403364,83.2445058,99.44972005,124.2268878,172.8462618,203.690929,204.5899712,183.2276891,146.7017128,171.2433375,173.7672189,160.3733465,190.6077638,203.5788105,220.9111119,251.320152,80.40104153,83.90699018
Finland,0,0,0,0,0,18.514945,23.80775,46.70399,65.4784,91.440733,106,95.759995,108,97.178133,49.415206,50.871545,74.044213,77.741461,105,70.851071,62.883601,101,103,77.051125,66.89375,74.258863,146,235,375,444,473,491,477,526,666,692.6239676,714.5076808,806.0867838,959.168579,865.0539413,894.0363171,755.5717041,862.4284094,973.2433722,907.0354382,806.33344,804.362688,832.4862712
France,0,0,0,0,0,628,653,1261,1578,1917,1441,1279,1342,1279,1262,1391,2022,2469,3424,3221,4034,4618,5212,5032,3955,4636,4540,9745,10024,9306,8610,9191,10368,11351,12260,14212.23229,15528.85291,17589.39055,20085.32931,19649.12483,19903.16886,22927.27576,22674.44452,24406.33351,25351.15715,23765.70061,24373.08243,24519.32093
French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.205361,508.323615,597.973117,557.2706203,621.8617899,688.7618775,763.053748,727.7572459,650.7444406,722.3746283,633.4875349,652.0713432,657.6954282,657.6954282,657.6954282,685.4834317
Gabon,0,0,0,0,0,0,0,0,0.088630537,0.094019582,0.047330656,0.1840052,0.060863115,0.28866388,0.091542258,0.13355207,0.23100963,0.299464392,0.13429659,0.15673573,0,0,0,0,0,4.47161583,5.7276631,6.1456026,5.5631666,4.2472043,6.0507634,5.3639747,2.8465331,5.9893291,6.8523644,11.02815417,0,0,0,0,0,0,0,0,0,0,0,0
"Gambia, The",0,0,0,0,0,0,0,0,0.34520035,0.49247629,0,0,0.1878131,0.70113613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.06983939,60.74874891,59.30408754,63.77351735,55.66254037,64.81155898,79.80115312,115.699061,107.909707,140.9910519,180.6927071,137.7712094,135.9638753,207.3692038,212.3796715
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,373,360,209.5471874,221.5724478,230.8153635,235.9619013,302.9209618,446.0053986,627.3487795,883.065426,1065.021296,1111.619713,1183.93575,1547.27444,1770.115175,1945.284852,1986.474923,1458.741312,1520.78528,1641.0549
Germany,0,210.2290089,246.2700535,313.7011127,357.3786288,420.2120346,450.2091277,535.8796503,731.868344,848.8293378,2380.490025,2122.568011,2230.32149,2121.863023,1964.053677,2018.489955,2778.150473,3586.776088,3839.278991,3753.973758,4878.028354,4824.468226,4923.352298,4392.084641,4405.304581,4526.027927,4345.247601,3856.853492,4266,4334,3639.925884,3931.310668,4686.181059,5779.678729,6580.566499,6867.13263,7482.28688,9769.923181,10973.97238,12333.26247,12791.62912,16608.96865,15898.4165,16343.35919,17364.69046,16132.50092,16683.18353,16282.78712
Ghana,0,0,0,0,0,0,0,0,0,1.27274,0.9,1.4,1.5,0.5,4.7,4.2,0.6,0.7,6,6,6,6.2,7.3,10.1,15.7,17.2096,27.5,26,29.5,30.7,32.3968,45.90912,43.52,65.100096,82.3712,99.184576,105.253248,117.363712,126.104704,114.45568,135.85216,2134.638607,2155.495,1863.99,2007.83148,2100,2100,2190.3
Greece,0,0,0,0,0,0,805,940,989,1184,1123,1172,1144,964,945,807,967,1403,1742,1387,1822,2178,2535,2655,2890,3284,3075,3066,0,2287,2191,2013,1658,1561,1242,1220.10704,1542.622996,2483.721084,2686.635043,2020.323913,1499.203153,1186.193538,681.2267482,804.7520942,734.7116147,428.809248,331.496512,345.8790321
